participant,exp,Peak #,CF_Hz,PW_log10,PW_dB,BW_Hz,Aperiodic_Offset,Aperiodic_Exponent,R_squared,Error,channels,Channels_Validity
sub-001,lowlevel,1,8.026942,0.197944,1.979435,2.050789,-10.087842,1.894485,0.987438,0.045694,C4,True
sub-001,lowlevel,2,12.34112,0.395836,3.958362,2.378419,-10.087842,1.894485,0.987438,0.045694,C4,True
sub-001,lowlevel,3,16.419683,0.200057,2.000569,2.721764,-10.087842,1.894485,0.987438,0.045694,C4,True
sub-001,lowlevel,1,10.590476,0.270088,2.70088,5.356511,-9.745284,1.85343,0.985855,0.043942,T8,True
sub-001,lowlevel,2,32.998463,0.128569,1.285686,1.4,-9.745284,1.85343,0.985855,0.043942,T8,True
sub-001,lowlevel,3,39.015657,0.200314,2.003135,5.752477,-9.745284,1.85343,0.985855,0.043942,T8,True
sub-001,lowlevel,1,10.895826,0.223714,2.237137,5.685376,-9.509076,2.070492,0.987962,0.043905,FT10,True
sub-001,lowlevel,2,18.033783,0.115208,1.152078,1.4,-9.509076,2.070492,0.987962,0.043905,FT10,True
sub-001,lowlevel,3,36.009574,0.109127,1.091266,8.0,-9.509076,2.070492,0.987962,0.043905,FT10,True
sub-001,lowlevel,1,7.327515,0.239644,2.396439,3.254347,-10.969211,0.843157,0.900805,0.065459,FC6,True
sub-001,lowlevel,2,21.714243,0.201881,2.018813,1.4,-10.969211,0.843157,0.900805,0.065459,FC6,True
sub-001,lowlevel,3,24.194026,0.209103,2.091032,3.034456,-10.969211,0.843157,0.900805,0.065459,FC6,True
sub-001,lowlevel,1,6.564252,0.425509,4.255092,1.921545,-11.903819,0.801221,0.977543,0.030446,FC2,True
sub-001,lowlevel,2,15.907654,0.144479,1.44479,1.4,-11.903819,0.801221,0.977543,0.030446,FC2,True
sub-001,lowlevel,3,18.093215,0.178371,1.783714,1.482154,-11.903819,0.801221,0.977543,0.030446,FC2,True
sub-001,lowlevel,4,23.304642,0.211781,2.117807,5.140164,-11.903819,0.801221,0.977543,0.030446,FC2,True
sub-001,lowlevel,5,27.77776,0.193958,1.939577,1.819624,-11.903819,0.801221,0.977543,0.030446,FC2,True
sub-001,lowlevel,6,31.104832,0.121131,1.211315,1.4,-11.903819,0.801221,0.977543,0.030446,FC2,True
sub-001,lowlevel,1,21.048002,0.242665,2.426654,4.806296,-11.645522,0.367732,,0.066497,F4,False
sub-001,lowlevel,2,25.767042,0.277363,2.773627,2.858072,-11.645522,0.367732,,0.066497,F4,False
sub-001,lowlevel,3,30.860666,0.117388,1.173883,1.4,-11.645522,0.367732,,0.066497,F4,False
sub-001,lowlevel,4,35.480661,0.139572,1.395715,1.4,-11.645522,0.367732,,0.066497,F4,False
sub-001,lowlevel,1,7.594683,0.191326,1.913257,1.867543,-10.078092,1.654863,0.987452,0.040859,F8,True
sub-001,lowlevel,2,10.154051,0.241571,2.415709,1.4,-10.078092,1.654863,0.987452,0.040859,F8,True
sub-001,lowlevel,3,13.053352,0.122482,1.224821,1.4,-10.078092,1.654863,0.987452,0.040859,F8,True
sub-001,lowlevel,4,17.560586,0.12895,1.289501,1.4,-10.078092,1.654863,0.987452,0.040859,F8,True
sub-001,lowlevel,5,26.353099,0.105562,1.055616,1.4,-10.078092,1.654863,0.987452,0.040859,F8,True
sub-001,lowlevel,1,9.819101,0.255036,2.550362,4.013218,-10.175227,1.84779,0.99288,0.033826,Fp2,True
sub-001,lowlevel,2,13.28675,0.201223,2.012226,1.4,-10.175227,1.84779,0.99288,0.033826,Fp2,True
sub-001,lowlevel,3,26.259427,0.047568,0.475678,1.4,-10.175227,1.84779,0.99288,0.033826,Fp2,True
sub-001,lowlevel,4,39.796644,0.175402,1.754018,4.513832,-10.175227,1.84779,0.99288,0.033826,Fp2,True
sub-001,highlevel,1,6.445208,0.581919,5.819186,2.178891,-13.097682,,0.9376,0.036412,Fz,False
sub-001,highlevel,2,19.660807,0.344321,3.44321,4.848486,-13.097682,,0.9376,0.036412,Fz,False
sub-001,highlevel,3,24.730006,0.347049,3.470486,3.505792,-13.097682,,0.9376,0.036412,Fz,False
sub-001,highlevel,1,22.381057,0.366272,3.66272,6.519254,-11.842344,0.087494,,0.083525,F3,False
sub-001,highlevel,1,6.920115,0.24672,2.467198,1.662731,-9.628073,1.958354,0.995173,0.029507,FT9,True
sub-001,highlevel,2,9.984747,0.323807,3.238068,2.513921,-9.628073,1.958354,0.995173,0.029507,FT9,True
sub-001,highlevel,3,15.758988,0.145699,1.456994,1.4,-9.628073,1.958354,0.995173,0.029507,FT9,True
sub-001,highlevel,4,32.474468,0.081615,0.816151,4.311912,-9.628073,1.958354,0.995173,0.029507,FT9,True
sub-001,highlevel,5,37.718464,0.206715,2.067151,3.242458,-9.628073,1.958354,0.995173,0.029507,FT9,True
sub-001,highlevel,1,29.539874,0.133334,1.33334,2.159611,-10.50807,1.066492,0.91065,0.050676,FC5,True
sub-001,highlevel,2,35.133641,0.217488,2.174879,7.544694,-10.50807,1.066492,0.91065,0.050676,FC5,True
sub-001,highlevel,1,7.17947,0.196909,1.969087,1.4,-9.892422,2.064778,0.994614,0.030636,C3,True
sub-001,highlevel,2,9.089994,0.294229,2.942288,1.535893,-9.892422,2.064778,0.994614,0.030636,C3,True
sub-001,highlevel,3,12.454997,0.23477,2.347701,2.619287,-9.892422,2.064778,0.994614,0.030636,C3,True
sub-001,highlevel,4,15.727787,0.306198,3.061981,1.656311,-9.892422,2.064778,0.994614,0.030636,C3,True
sub-001,highlevel,5,18.45561,0.164455,1.64455,1.799891,-9.892422,2.064778,0.994614,0.030636,C3,True
sub-001,highlevel,1,16.413187,0.230899,2.308991,2.865052,-10.188083,1.134033,,0.060053,T7,False
sub-001,highlevel,2,35.303145,0.333373,3.333725,8.0,-10.188083,1.134033,,0.060053,T7,False
sub-001,highlevel,1,8.591304,0.304302,3.043018,1.892726,-9.15564,2.322917,0.99473,0.031578,TP9,True
sub-001,highlevel,2,11.426236,0.314238,3.142381,2.533396,-9.15564,2.322917,0.99473,0.031578,TP9,True
sub-001,highlevel,3,15.804894,0.232025,2.32025,1.913325,-9.15564,2.322917,0.99473,0.031578,TP9,True
sub-001,highlevel,1,9.571041,0.348793,3.487934,4.034022,-9.577395,2.04185,0.990859,0.039256,CP5,True
sub-001,highlevel,2,15.672866,0.343612,3.436123,2.192144,-9.577395,2.04185,0.990859,0.039256,CP5,True
sub-001,highlevel,3,18.572948,0.163297,1.632972,1.4,-9.577395,2.04185,0.990859,0.039256,CP5,True
sub-001,highlevel,4,31.673353,0.127344,1.273441,3.214319,-9.577395,2.04185,0.990859,0.039256,CP5,True
